      TNOW              PSI               THETA             PHI               OMEGA1            OMEGA2            OMEGA3            VCX               VCY               VCZ               XC                YC                ZC                XP                YP                ZP                VPX               VPY               VPZ               OMEGAX            OMEGAY            OMEGAZ            FX/WGT            FY/WGT            FZ/WGT            FN/WGT            FT/WGT            XMU               VS                ALPHA             MODE  
         0.0700000        -0.0593168        -0.2330598         1.4010846        -3.6884293        16.6945343         3.8775842         0.1614725         0.0240583        -0.0328602         0.0057849         0.0003723         0.0491912         0.0052568        -0.0085210         0.0000000        -0.6823420        -0.1573801         0.0000000        -3.6884293        17.1387355        -0.0829470         0.2363547         0.0545145         0.9702411         0.9702411         0.2425600         0.2499997         0.7002565         0.2266827      sliding
         0.0750000        -0.0379083        -0.2510232         1.4885125        -3.4960162        16.2210161         4.4266588         0.1736384         0.0231460        -0.0340416         0.0066274         0.0004497         0.0490238         0.0062584        -0.0092806         0.0000000        -0.6480392        -0.1482418         0.0000000        -3.4960162        16.8121904         0.2586993         0.2391341         0.0547030         0.9812454         0.9812454         0.2453111         0.2499997         0.6647785         0.2248851      sliding
         0.0800000        -0.0136898        -0.2680175         1.5746443        -3.3020493        15.7428121         4.9280168         0.1859629         0.0214785        -0.0347308         0.0075289         0.0005383         0.0488516         0.0073850        -0.0099787         0.0000000        -0.6132626        -0.1398320         0.0000000        -3.3020493        16.4857976         0.5830599         0.2413822         0.0550383         0.9903108         0.9903108         0.2475774         0.2499997         0.6290024         0.2241806      sliding
         0.0850000         0.0131273        -0.2840516         1.6594688        -3.1128066        15.2608690         5.3848055         0.1983864         0.0190357        -0.0350246         0.0084898         0.0006396         0.0486771         0.0086375        -0.0106112         0.0000000        -0.5781193        -0.1324867         0.0000000        -3.1128066        16.1584101         0.8922086         0.2430438         0.0556980         0.9973783         0.9973783         0.2493442         0.2499996         0.5931059         0.2252785      sliding
         0.0900000         0.0423402        -0.2991610         1.7429659        -2.9327558        14.7763760         5.7996147         0.2108424         0.0158132        -0.0350189         0.0095101         0.0007553         0.0485019         0.0100155        -0.0111746         0.0000000        -0.5427345        -0.1264310         0.0000000        -2.9327558        15.8293241         1.1871469         0.2441027         0.0568642         1.0025558         1.0025558         0.2506385         0.2499996         0.5572661         0.2288702      sliding
         0.0950000         0.0737574        -0.3133994         1.8251106        -2.7647687        14.2905209         6.1755398         0.2232609         0.0118222        -0.0348008         0.0105896         0.0008875         0.0483273         0.0115171        -0.0116655         0.0000000        -0.5072397        -0.1217915         0.0000000        -2.7647687        15.4983280         1.4690507         0.2445710         0.0587231         1.0060903         1.0060903         0.2515221         0.2499995         0.5216562         0.2356455      sliding
         0.1000000         0.1072007        -0.3268313         1.9058757        -2.6103252        13.8044532         6.5159036         0.2355704         0.0070900        -0.0344430         0.0117277         0.0010385         0.0481541         0.0131395        -0.0120806         0.0000000        -0.4717675        -0.1186079         0.0000000        -2.6103252        15.1655958         1.7391472         0.2444704         0.0614627         1.0083152         1.0083152         0.2520783         0.2499995         0.4864488         0.2463069      sliding
         0.1050000         0.1425063        -0.3395257         1.9852348        -2.4697062        13.3192822         6.8240368         0.2476994         0.0016589        -0.0340006         0.0129239         0.0012110         0.0479830         0.0148791        -0.0124165         0.0000000        -0.4364497        -0.1168450         0.0000000        -2.4697062        14.8315974         1.9986181         0.2438159         0.0652736         1.0096109         1.0096109         0.2524021         0.2499994         0.4518198         0.2615826      sliding
         0.1100000         0.1795252        -0.3515502         2.0631639        -2.3421599        12.8361056         7.1031069         0.2595772        -0.0044135        -0.0335091         0.0141768         0.0014078         0.0478142         0.0167315        -0.0126692         0.0000000        -0.4014171        -0.1164020         0.0000000        -2.3421599        14.4970303         2.2485210         0.2426002         0.0703487         1.0103794         1.0103794         0.2525941         0.2499993         0.4179535         0.2822369      sliding
         0.1150000         0.2181216        -0.3629664         2.1396433        -2.2260457        12.3560681         7.3559938         0.2711330        -0.0110547        -0.0329847         0.0154852         0.0016322         0.0476479         0.0186917        -0.0128343         0.0000000        -0.3668025        -0.1171212         0.0000000        -2.2260457        14.1627799         2.4897246         0.2407794         0.0768816         1.0110266         1.0110266         0.2527558         0.2499992         0.3850473         0.3090706      sliding
