center_drift_m,center_mean_x_m,center_mean_y_m,center_motion_samples,center_orbit_max_m,center_orbit_mean_m,center_orbit_rms_m,center_orbit_span_m,center_path_length_m,cpu_time,direction2_deg,direction_deg,end_time,energy_stop,exit_status,face_radius,flat_stop,initial_slip,initial_wobble_axis,last_mode,lost_contact,mass,mean_vs,mode_changes,omega1,omega2,omega3,process_status,release_deg,score,step_too_small,theta_max_abs,theta_rms,theta_span,timed_out,wall_time
0.013103222336509441,0.0892552271279125,-0.015855633037459713,75708,0.016476147073427823,0.0033823609783217995,0.004796104254586715,0.016451194049779627,2.9062475359855697,1.938,160.0,-20.0,77.708,True,0,0.045,False,1.135,0.7511,rolling,False,0.25,0.00219813552355583,9,13.244,18.436,-4.0431,0,27.5,73.89690016660771,False,1.570499,1.4405670104792905,1.8292093,False,3.7174583000000894
0.014517913347654338,0.08640194284831873,-0.012904983053442974,77709,0.01570252613430861,0.0032914156331005045,0.004660021649258165,0.01569646416856083,2.8707274460743397,1.969,160.5,-19.5,79.709,True,0,0.045,False,1.13,0.7325,rolling,False,0.25,0.002061064187680341,9,12.9469,18.5238,-4.0623,0,27.5,75.92200016876868,False,1.5704121,1.4376460306563201,1.8186755,False,3.8282342000002245
0.009810133394607842,0.08486734648122392,-0.008048541081046908,79090,0.014856532538436768,0.003246394072972702,0.004537484132680211,0.014852583536295405,2.812434448232379,2.047,161.0,-19.0,81.09,True,0,0.045,False,1.125,0.7141,rolling,False,0.25,0.001982256889173891,9,12.6474,18.6099,-4.0812,0,27.5,77.32631749167189,False,1.5703548,1.4356100949171442,1.8083154000000001,False,3.9342412999999397
0.009880028462509611,0.08292934920032935,-0.005538219901943661,80158,0.014181559083098445,0.0029797986429464917,0.004312356591426676,0.014165744412321145,2.7446952339107087,2.156,161.5,-18.5,82.158,True,0,0.045,False,1.1201,0.6959,rolling,False,0.25,0.001931201958397741,9,12.3455,18.6941,-4.0997,0,27.5,78.41705890098265,False,1.5703024,1.434124764376124,1.7981047000000001,False,4.129257600000074
0.01116543449042625,0.08065277458163,-0.003647712655460732,80969,0.01397828600548478,0.002806661704556564,0.004154341091116349,0.01397147219566984,2.6808463223753725,2.234,162.0,-18.0,82.969,True,0,0.045,False,1.1153,0.6778,rolling,False,0.25,0.0018997938483789323,9,12.0414,18.7765,-4.1177,0,27.5,79.25053474780282,False,1.570272,1.432875489045832,1.7880813,False,4.183492499999829
0.011964766786695011,0.07828001100698273,-0.0017576460247458042,81630,0.014298819011877635,0.003062240640054755,0.00417340274687919,0.01429474648655413,2.622084903519036,2.375,162.5,-17.5,83.63,True,0,0.045,False,1.1105,0.6598,rolling,False,0.25,0.001876442438808576,9,11.735,18.8571,-4.1354,0,27.5,79.933794167983,False,1.5702386,1.4317842392153879,1.7782434999999999,False,4.292753899999752
0.011894772959581874,0.07741161854357002,0.0015427214705417208,82201,0.013758078823606332,0.00274419772785571,0.003961448439278442,0.013750081139341157,2.5763477089562334,2.469,163.0,-17.0,84.201,True,0,0.045,False,1.1058,0.642,rolling,False,0.25,0.0018588924740504977,9,11.4263,18.9358,-4.1526,0,27.5,80.52673560741262,False,1.570212,1.4308210234876002,1.7685655999999998,False,4.532030399999712
0.012751628652842743,0.07499289034631301,0.002953723674402846,82642,0.013301524421419304,0.002397486658424421,0.003802397847568422,0.013300613875466907,2.537042172303077,2.516,163.5,-16.5,84.642,True,0,0.045,False,1.1012,0.6244,rolling,False,0.25,0.0018476940325839112,9,11.1155,19.0125,-4.1695,0,27.5,80.98942382854466,False,1.5701997,1.4298777210813676,1.7590540000000001,False,4.550941700000294
0.012582455595391546,0.07309731679069431,0.004368017286804903,83046,0.013401423914195782,0.002451988198234612,0.003755138918537918,0.013395322457947986,2.5025804153440347,2.625,164.0,-16.0,85.046,True,0,0.045,False,1.0966,0.607,rolling,False,0.25,0.0018371342034404505,9,10.8025,19.0873,-4.1859,0,27.5,81.4147715962535,False,1.5701746,1.4291016281763576,1.7496848,False,4.609774399999878
0.01407983155332478,0.07132863064967175,0.0068455890709201985,83319,0.01410253664333068,0.002485646143542447,0.003732544671447044,0.014097350225140677,2.4798755139183015,2.672,164.5,-15.5,85.319,True,0,0.045,False,1.0921,0.5897,rolling,False,0.25,0.0018331873007501173,9,10.4875,19.1601,-4.2018,0,27.5,81.70901533268633,False,1.5701788,1.4282967164225275,1.7405572,False,4.801716500000111
0.012047112278467402,0.07007907544176588,0.0069301094729915655,83585,0.013493507457735998,0.002541972439118912,0.0037178699224165055,0.013472763018148962,2.4643405955496407,2.734,165.0,-15.0,85.585,True,0,0.045,False,1.0877,0.5725,rolling,False,0.25,0.00182877630920945,9,10.1704,19.2309,-4.2174,0,27.5,81.995995918998,False,1.5701623,1.4277305429002354,1.7315695,False,4.794718099999955
0.012263174817721559,0.06902046113172432,0.007751029640057744,83819,0.013852159172948113,0.002846880377678872,0.0038484102376713622,0.013845308600693355,2.450419099042514,2.812,165.5,-14.5,85.819,True,0,0.045,False,1.0834,0.5556,rolling,False,0.25,0.0018246793591237475,9,9.8513,19.2996,-4.2324,0,27.5,82.25057176744099,False,1.5701476,1.4272388278119905,1.7227462,False,4.8139941000004
0.013063047837698525,0.06749445916872741,0.011658774359187751,84112,0.014060691470712632,0.0027296706667658405,0.0037430661483600766,0.014059798246940433,2.4168597366658413,2.844,166.0,-14.0,86.112,True,0,0.045,False,1.0792,0.5388,rolling,False,0.25,0.001816060426416453,9,9.5302,19.3663,-4.2471,0,27.5,82.5640962218078,False,1.5701414,1.4266342768448474,1.7140976,False,4.906761299999744
