center_drift_m,center_orbit_rms_m,center_path_length_m,cpu_time,direction2_deg,direction_deg,end_time,energy_stop,exit_status,face2_angle_deg,face_angle_deg,face_radius,flat_stop,incidence_deg,initial_slip,initial_wobble_axis,inward_component,last_mode,lost_contact,mass,max_xmu,mean_vs,mode_changes,omega1,omega2,omega3,physical_hit,process_status,release_deg,score,skipped_physical,step_too_small,theta_excess_rate,theta_excess_variation,theta_max_abs,theta_rms,theta_span,timed_out,wall_time
0.00966951616266295,0.0031894894623272748,2.201357082107707,3.578,165.0,-15.0,91.457,True,0,315.0,135.0,0.045,False,14.999999999999998,0.9261,0.5723,0.25881904510252074,rolling,False,0.25,0.4548849,0.0013520925769205537,9,8.659,16.3731,3.5811,True,0,27.5,73.56392770458521,False,False,0.000704337905245088,64.4166318,1.5701151,1.4103920902729368,1.5701151,False,5.967396100000315
0.008462604918699677,0.003481448580389975,2.3524780769511007,3.484,165.0,-15.0,91.226,True,0,320.0,140.0,0.045,False,14.999999999999998,0.8704,0.6027,0.25881904510252074,rolling,False,0.25,0.4548289,0.0012568773784077082,9,8.1384,15.3887,4.4488,True,0,27.5,72.35120453354163,False,False,0.0008016312082081864,73.12960860000001,1.5701148,1.4105767842483172,1.5701148,False,5.850556800000049
0.00506297904498922,0.0042050497134411115,2.653188099122574,3.453,165.0,-15.0,90.656,True,0,310.0,130.0,0.045,False,14.999999999999998,0.9712,0.5518,0.25881904510252074,rolling,False,0.25,0.4549047,0.0014615487199002835,11,9.0808,17.1707,2.7041,True,0,27.5,72.32341312073868,False,False,0.0008521916563713378,77.2562868,1.5701149,1.4092535272647237,1.5701149,False,6.13550400000031
0.012858566015306683,0.005052631844530584,2.9219967555307953,2.75,165.0,-15.0,89.753,True,0,325.0,145.0,0.045,False,14.999999999999998,0.803,0.6471,0.25881904510252074,rolling,False,0.25,0.454865,0.0011784574537067986,11,7.5077,14.1962,5.2944,True,0,27.5,65.65907341081005,False,False,0.0011348881708689402,101.859618,1.57018,1.4097384329575005,1.57018,False,5.117580999999973
0.011510598866262349,0.0035158685681655716,2.380613120002435,2.797,165.0,-15.0,85.585,True,0,270.0,90.0,0.045,False,14.999999999999998,1.0877,0.5725,0.25881904510252074,rolling,False,0.25,0.4547835,0.00182877630920945,9,10.1704,19.2309,-4.2174,True,0,27.5,64.85026368018352,False,False,0.001048787605304668,89.7604872,1.5701623,1.4277305429002354,1.7315695,False,5.082777699999951
0.01341251189375055,0.0039419336966002826,2.549853137576662,2.672,165.0,-15.0,86.558,True,0,265.0,85.0,0.045,False,14.999999999999998,1.0828,0.5922,0.25881904510252074,rolling,False,0.25,0.4548838,0.0018146434212502453,9,10.1239,19.143,-5.0998,True,0,27.5,64.21520799213533,False,False,0.0011254363848517757,97.4155226,1.5701821,1.4232896739187424,1.7170478,False,4.836834299999737
0.011969338114114743,0.003779791051080914,2.4948808702847556,2.453,165.0,-15.0,84.435,True,0,275.0,95.0,0.045,False,14.999999999999998,1.0892,0.5567,0.25881904510252074,rolling,False,0.25,0.4549293,0.001820935750153963,9,10.1845,19.2575,-3.3483,True,0,27.5,62.69366676191569,False,False,0.001193204801326464,100.74824739999998,1.5702099,1.4298488542780121,1.748099,False,4.772952799999985
0.017066498284651132,0.004438327091633142,2.761642457851526,2.672,165.0,-15.0,87.143,True,0,260.0,80.0,0.045,False,14.999999999999998,1.0742,0.616,0.25881904510252074,rolling,False,0.25,0.4549533,0.0017983109405122555,9,10.0443,18.9925,-6.0004,True,0,27.5,62.38935696550402,False,False,0.001242201032785192,108.24912459999999,1.5702121,1.41959660841898,1.7040139,False,4.989576200000101
0.01382246124863441,0.004073364751676785,2.572990935262415,2.359,165.0,-15.0,83.992,True,0,280.0,100.0,0.045,False,14.999999999999998,1.0872,0.5445,0.25881904510252074,rolling,False,0.25,0.4546464,0.0018035011358089365,9,10.1652,19.2212,-2.4879,True,0,27.5,61.17635452412928,False,False,0.0012784557672159253,107.3800568,1.570242,1.4299284810691997,1.7672377,False,4.466629099999864
0.017731306986795984,0.004895865877444642,2.998219295431669,2.406,165.0,-15.0,87.045,True,0,255.0,75.0,0.045,False,14.999999999999998,1.062,0.6447,0.25881904510252074,rolling,False,0.25,0.4549001,0.0018079776715759482,9,9.9294,18.7751,-6.9232,True,0,27.5,60.3200861605444,False,False,0.0014042810730082141,122.235646,1.5702624,1.4171492536149253,1.6921642000000001,False,4.762703400000191
0.01474573063160995,0.005025135257625238,3.0583466327486613,2.328,165.0,-15.0,86.044,True,0,330.0,150.0,0.045,False,14.999999999999998,0.7228,0.7125,0.25881904510252074,rolling,False,0.25,0.454639,0.001257314886396653,9,6.7583,12.7791,6.1008,True,0,27.5,58.44560965386202,False,False,0.0014966016177769515,128.7735896,1.5703038,1.419646987035602,1.5703038,False,4.401321100000132
0.019951891633877727,0.005482842626329479,3.225132278670312,2.344,165.0,-15.0,86.314,True,0,250.0,70.0,0.045,False,14.999999999999998,1.0455,0.679,0.25881904510252074,rolling,False,0.25,0.4547486,0.0018491397288999593,9,9.7752,18.4836,-7.8715,True,0,27.5,56.93071462337156,False,False,0.0015836584007229417,136.6918912,1.5703306,1.4161298261995006,1.6812893999999998,False,4.600382399999944
0.013863806379562582,0.0046053221559488435,2.883250187643369,2.109,165.0,-15.0,81.988,True,0,285.0,105.0,0.045,False,14.999999999999998,1.0813,0.5357,0.25881904510252074,rolling,False,0.25,0.4548863,0.0019143479356986911,11,10.11,19.1168,-1.6313,True,0,27.5,56.7796988879981,False,False,0.0016052974630433722,131.6151284,1.5703749,1.4304282999704494,1.7901784,False,4.5750120000002426
0.01994076573479564,0.006545177363621191,3.7180992000674924,2.391,160.0,-20.0,89.281,True,0,310.0,130.0,0.045,False,20.0,1.0108,0.785,0.3420201433256687,rolling,False,0.25,0.4549111,0.001578092166394122,9,11.7945,16.4183,5.1965,True,0,27.5,56.775390473655655,False,False,0.00169161429867497,151.0290162,1.570366,1.4025957442207657,1.570366,False,4.662590899999941
0.019447636239142276,0.006613535416793347,3.735166884858822,2.266,160.0,-20.0,89.65,True,0,315.0,135.0,0.045,False,20.0,0.9625,0.8263,0.3420201433256687,rolling,False,0.25,0.4548622,0.001486425415221247,9,11.2307,15.6334,6.3821,True,0,27.5,56.688404694704396,False,False,0.0016814332693809255,150.74049259999998,1.5703579,1.4014198014201436,1.5703579,False,4.522606500000165
0.012691608265306657,0.004710947912262107,2.892313646567895,2.172,165.0,-15.0,80.942,True,0,290.0,110.0,0.045,False,14.999999999999998,1.0711,0.5304,0.25881904510252074,rolling,False,0.25,0.4549302,0.0019107533523590675,11,10.0145,18.9361,-0.7743,True,0,27.5,55.61444225182582,False,False,0.0016704219070445504,135.20729,1.5704085,1.432619885665897,1.8185512000000001,False,4.307865499999934
0.020998136379212322,0.006608376882836193,3.7709854188797682,2.156,160.0,-20.0,87.301,True,0,305.0,125.0,0.045,False,20.0,1.0494,0.7559,0.3420201433256687,rolling,False,0.25,0.4548688,0.0017483276316693777,9,12.2447,17.045,4.0106,True,0,27.5,54.09241171712917,False,False,0.0018222082564919072,159.080603,1.5704316,1.4065221049518009,1.5704316,False,4.335359499999868
0.014017450807118961,0.004669307972415905,2.868671914817176,2.094,160.0,-20.0,82.464,True,0,265.0,85.0,0.045,False,20.0,1.1287,0.7721,0.3420201433256687,rolling,False,0.25,0.454993,0.001986737904565573,9,13.171,18.3345,-5.1885,True,0,27.5,54.05431001027946,False,False,0.001578027076057431,130.1304248,1.5703603,1.4302604799413816,1.802751,False,4.180870000000141
0.014140751868270652,0.005046626401926351,3.074413294892426,2.109,160.0,-20.0,83.577,True,0,260.0,80.0,0.045,False,20.0,1.1185,0.7988,0.3420201433256687,rolling,False,0.25,0.4549468,0.0019914602861997176,9,13.0514,18.1679,-6.347,True,0,27.5,53.99641005965124,False,False,0.001646392244277732,137.6005246,1.5703722,1.4248120956159827,1.7796998,False,4.207624800000303
0.022374992715306078,0.0067894932126230925,3.8089074109769463,2.344,160.0,-20.0,88.887,True,0,320.0,140.0,0.045,False,20.0,0.9032,0.8839,0.3420201433256687,rolling,False,0.25,0.4548193,0.001443429912924129,9,10.5388,14.6703,7.5545,True,0,27.5,53.74438009244029,False,False,0.0017612446341984769,156.5517518,1.5703929,1.4026276780116835,1.5703929,False,4.501745000000028
0.020987997223413195,0.005805592797177716,3.4288064316986033,2.094,165.0,-15.0,84.622,True,0,245.0,65.0,0.045,False,14.999999999999998,1.0242,0.72,0.25881904510252074,rolling,False,0.25,0.4544144,0.001955315870389847,9,9.5764,18.1077,-8.8471,True,0,27.5,52.8321408744754,False,False,0.0017946465434520574,151.8665798,1.570437,1.4174781775191152,1.6712016,False,4.175226800000019
0.017910240995586857,0.005540049978463866,3.3026917573006846,2.031,160.0,-20.0,82.569,True,0,255.0,75.0,0.045,False,20.0,1.104,0.8319,0.3420201433256687,rolling,False,0.25,0.4548237,0.0021123317403415284,9,12.8823,17.9326,-7.5232,True,0,27.5,49.95138051801297,False,False,0.0018410500429943439,152.01366099999998,1.5704743,1.4234187388001744,1.7592466,False,4.073864699999831
0.023876411904848682,0.008913909086239525,3.977806719195004,2.016,160.0,-20.0,85.661,True,0,300.0,120.0,0.045,False,20.0,1.0794,0.7363,0.3420201433256687,rolling,False,0.25,0.4548808,0.0019410274065513294,11,12.5957,17.5336,2.8321,True,0,27.5,49.20153698699226,False,False,0.0019343148503986646,165.6953444,1.5705473,1.3906431767300158,1.5732254,False,4.274521100000129
